b=8 context=1024 draft=3: iterates 10..73 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
  700.832   10.9505      25.27       19.06      1472  void exl3_moe_kernel<3, 128, 2, 16>(__half const*, __half*, __half*, __half*, __half*, float*, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, long const*, long const*, __half const*, int, int, int, int, int, int, float, int, int, int, int, int*, float*, long const*, int, int)
  649.296   10.1452      23.41       17.66      1600  void exl3_moe_kernel<2, 128, 2, 16>(__half const*, __half*, __half*, __half*, __half*, float*, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, long const*, long const*, __half const*, int, int, int, int, int, int, float, int, int, int, int, int*, float*, long const*, int, int)
  187.118    2.9237       6.75        5.09      6784  void gr_v2_dots_i8_kernel<8>(float const*, signed char const*, float const*, float*, int, int, int)
  148.748    2.3242       5.36        4.05      6144  void exl3_gemm_kernel<4, true, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
  108.442    1.6944       3.91        2.95      6784  void gr_v2_up_i8_kernel<8, true>(float const*, float const*, signed char const*, float const*, __half const*, void*, int, int, int)
  104.200    1.6281       3.76        2.83      2304  void exl3_mgemm_kernel<4, true, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   90.802    1.4188       3.27        2.47      2304  void cuda_recurrent_gated_delta_rule_kernel_128<true, 1, false, __nv_bfloat16>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   78.992    1.2343       2.85        2.15      1382  _paged_attn_decode_split_kernel
   77.903    1.2172       2.81        2.12       815  void exl3_moe_kernel<2, 128, 2, 32>(__half const*, __half*, __half*, __half*, __half*, float*, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, long const*, long const*, __half const*, int, int, int, int, int, int, float, int, int, int, int, int*, float*, long const*, int, int)
   75.695    1.1827       2.73        2.06      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   68.017    1.0628       2.45        1.85       685  void exl3_moe_kernel<3, 128, 2, 32>(__half const*, __half*, __half*, __half*, __half*, float*, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, long const*, long const*, __half const*, int, int, int, int, int, int, float, int, int, int, int, int*, float*, long const*, int, int)
   60.255    0.9415       2.17        1.64      3072  void at::native::radixSortKVInPlace<-2, -1, 32, 32, long, long, unsigned int>(at::cuda::detail::TensorInfo<long, unsigned int>, unsigned int, unsigned int, unsigned int, at::cuda::detail::TensorInfo<long, unsigned int>, unsigned int, bool)
   57.596    0.8999       2.08        1.57       256  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   29.351    0.4586       1.06        0.80       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   20.128    0.3145       0.73        0.55      3072  exl3_moe_gather_kernel(float*, float const*, long const*, long const*, long const*, long const*, long const*, __half const*, int, int, int)
   16.783    0.2622       0.61        0.46       768  void exl3_gemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   15.844    0.2476       0.57        0.43      1054  void exl3_gemm_kernel<5, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   15.230    0.2380       0.55        0.41       528  batched_state_rewind_kernel(StateRewindJobBatch)
   14.863    0.2322       0.54        0.40       192  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<4, 2, true>(MoeCoopParams)
   14.502    0.2266       0.52        0.39      2304  void conv1d_update_kernel<true, true>(__nv_bfloat16 const*, __nv_bfloat16*, int const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, int, int, int, int)
   14.092    0.2202       0.51        0.38      6528  void hc_apply_kernel<4, float, false, 32>(float*, float const*, float const*, float const*, int, int)
   14.015    0.2190       0.51        0.38       614  void exl3_mgemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   13.549    0.2117       0.49        0.37      3072  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align8::Params)
   13.533    0.2114       0.49        0.37       192  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<4, 2, false>(MoeCoopParams)
   10.674    0.1668       0.38        0.29      2304  void gdn_ba_gemv_kernel<8>(__half const*, __half const*, __half const*, float*, int, int)
   10.478    0.1637       0.38        0.29      1382  _paged_attn_decode_combine_kernel
   10.112    0.1580       0.36        0.28      3264  routing_std_topk_kernel(__half const*, long*, __half*, __nv_bfloat16 const*, __half const*, int, int, int)
    9.421    0.1472       0.34        0.26       632  void exl3_gemm_kernel<6, true, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    9.022    0.1410       0.33        0.25      3072  add_sigmoid_proj_kernel_f(float const*, __half const*, float*, __half const*, unsigned long, unsigned long)
