b=4 context=1024 draft=0: iterates 10..73 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
   80.950    1.2648      10.96       10.00      6144  void exl3_gemv_kernel<4, true, 2, 1, 0, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   70.257    1.0978       9.51        8.68      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<3, 2, true>(MoeCoopParams)
   68.930    1.0770       9.33        8.51      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<3, 2, false>(MoeCoopParams)
   62.725    0.9801       8.49        7.75      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<2, 2, true>(MoeCoopParams)
   62.365    0.9744       8.44        7.70      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<2, 2, false>(MoeCoopParams)
   57.865    0.9041       7.83        7.15      2304  void exl3_mgemm_kernel<4, true, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   48.882    0.7638       6.62        6.04      6208  void gr_v2_dots_kernel<4>(float const*, __half const*, float*, int, int, int)
   44.706    0.6985       6.05        5.52      6208  void gr_v2_up_kernel<4, true>(float const*, float const*, __half const*, __half const*, void*, int, int, int)
   41.298    0.6453       5.59        5.10      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   32.620    0.5097       4.42        4.03      2304  void cuda_recurrent_gated_delta_rule_kernel_128<false, 1, false>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   19.738    0.3084       2.67        2.44        64  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   17.180    0.2684       2.33        2.12       768  _paged_attn_decode_split_kernel
   17.170    0.2683       2.32        2.12       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   16.584    0.2591       2.25        2.05      3072  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8::Params)
   10.627    0.1661       1.44        1.31      3072  exl3_moe_coop_ns::exl3_moe_coop_rot_kernel(MoeCoopParams)
   10.015    0.1565       1.36        1.24       768  _paged_attn_decode_combine_kernel
    9.312    0.1455       1.26        1.15      3072  routing_std_topk_kernel(__half const*, long*, __half*, __nv_bfloat16 const*, __half const*, int, int, int)
    9.193    0.1436       1.24        1.14      2304  gdn_ba_gemv_kernel(__half const*, __half const*, __half const*, float*, int, int)
    8.134    0.1271       1.10        1.00       768  void exl3_gemv_kernel<4, false, 2, 1, 0, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    8.081    0.1263       1.09        1.00      6144  void hc_apply_kernel<4, float, false>(float*, float const*, float const*, float const*, int, int)
    7.689    0.1201       1.04        0.95      6208  gr_v2_state_kernel(float const*, float*, float*, int, int, float)
    6.348    0.0992       0.86        0.78      2304  void conv1d_update_kernel<true, false>(__nv_bfloat16 const*, __nv_bfloat16*, int const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, int, int, int, int)
    3.701    0.0578       0.50        0.46      2304  void gated_rms_norm_kernel<32, __half, __nv_bfloat16, float>(__nv_bfloat16 const*, __nv_bfloat16 const*, __half*, float const*, float, int, int, float, int, bool, int)
