b=1 context=1024 draft=0: iterates 10..73 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
   60.169    0.9401      11.59       10.62      6144  void exl3_gemv_int8_sq_kernel<4, 1, true, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   41.454    0.6477       7.99        7.31      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<3, 2, false>(MoeCoopParams)
   41.015    0.6409       7.90        7.24      1728  void exl3_mgemm_kernel<4, true, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   39.517    0.6175       7.61        6.97      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   39.025    0.6098       7.52        6.89      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<2, 2, false>(MoeCoopParams)
   37.849    0.5914       7.29        6.68      6208  void gr_v2_up_kernel<1, true>(float const*, float const*, __half const*, __half const*, void*, int, int, int)
   36.768    0.5745       7.09        6.49      6208  void gr_v2_dots_kernel<1>(float const*, __half const*, float*, int, int, int)
   26.856    0.4196       5.18        4.74      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<3, 2, false>(MoeCoopParams)
   24.133    0.3771       4.65        4.26      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<2, 2, false>(MoeCoopParams)
   19.719    0.3081       3.80        3.48        64  void exl3_gemv_int8_sq_kernel<6, 1, false, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   16.822    0.2628       3.24        2.97       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   16.716    0.2612       3.22        2.95       768  _paged_attn_decode_split_kernel
   14.151    0.2211       2.73        2.50       576  void exl3_mgemm_kernel<4, true, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   12.149    0.1898       2.34        2.14      2304  void cuda_recurrent_gated_delta_rule_kernel_128<false, 4, false>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   11.979    0.1872       2.31        2.11      3072  routing_gemv_kernel(__half const*, __half const*, __half*, int, int)
    9.605    0.1501       1.85        1.69       768  _paged_attn_decode_combine_kernel
    9.308    0.1454       1.79        1.64      2304  gdn_ba_gemv_kernel(__half const*, __half const*, __half const*, float*, int, int)
    9.306    0.1454       1.79        1.64      3072  routing_std_topk_kernel(__half const*, long*, __half*, __nv_bfloat16 const*, __half const*, int, int, int)
    8.189    0.1280       1.58        1.44       768  void exl3_gemv_kernel<4, false, 2, 0, 0, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    7.682    0.1200       1.48        1.36      6208  gr_v2_state_kernel(float const*, float*, float*, int, int, float)
    7.504    0.1172       1.45        1.32      6144  void hc_apply_kernel<4, float, false>(float*, float const*, float const*, float const*, int, int)
    5.693    0.0889       1.10        1.00      2304  void conv1d_update_kernel<true, false>(__nv_bfloat16 const*, __nv_bfloat16*, int const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, int, int, int, int)
