b=6 context=1024 draft=1: iterates 11..74 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
  135.871    2.1230      11.48        9.74      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<3, 2, false>(MoeCoopParams)
  123.788    1.9342      10.46        8.87      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<2, 2, false>(MoeCoopParams)
  121.627    1.9004      10.28        8.72      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<3, 2, true>(MoeCoopParams)
  104.018    1.6253       8.79        7.46      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<2, 2, true>(MoeCoopParams)
   92.820    1.4503       7.85        6.65      6400  void gr_v2_dots_kernel<8>(float const*, __half const*, float*, int, int, int)
   85.316    1.3331       7.21        6.12      6144  void exl3_gemm_kernel<4, true, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   66.975    1.0465       5.66        4.80      2304  void cuda_recurrent_gated_delta_rule_kernel_128<true, 1, false>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   66.460    1.0384       5.62        4.76      6400  void gr_v2_up_kernel<8, true>(float const*, float const*, __half const*, __half const*, void*, int, int, int)
   60.280    0.9419       5.10        4.32      2304  void exl3_mgemm_kernel<4, true, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   47.558    0.7431       4.02        3.41      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   45.169    0.7058       3.82        3.24      1154  _paged_attn_decode_split_kernel
   25.940    0.4053       2.19        1.86       128  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   18.689    0.2920       1.58        1.34      3136  exl3_moe_coop_ns::exl3_moe_coop_rot_kernel(MoeCoopParams)
   18.044    0.2819       1.53        1.29       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
