b=4 context=1024 draft=3: iterates 10..73 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
  142.211    2.2220      11.58        9.41      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<3, 2, true>(MoeCoopParams)
  121.635    1.9005       9.91        8.05      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<2, 2, true>(MoeCoopParams)
   99.962    1.5619       8.14        6.61      6208  void gr_v2_dots_kernel<8>(float const*, __half const*, float*, int, int, int)
   93.721    1.4644       7.63        6.20      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<3, 2, true>(MoeCoopParams)
   88.120    1.3769       7.18        5.83      6144  void exl3_gemm_kernel<4, true, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   86.791    1.3561       7.07        5.74      2304  void cuda_recurrent_gated_delta_rule_kernel_128<true, 1, false>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   83.654    1.3071       6.81        5.53      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<2, 2, true>(MoeCoopParams)
   63.814    0.9971       5.20        4.22      6208  void gr_v2_up_kernel<8, true>(float const*, float const*, __half const*, __half const*, void*, int, int, int)
   61.503    0.9610       5.01        4.07      2304  void exl3_mgemm_kernel<4, true, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   48.725    0.7613       3.97        3.22      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   44.874    0.7012       3.65        2.97      1163  _paged_attn_decode_split_kernel
   37.670    0.5886       3.07        2.49       256  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   24.556    0.3837       2.00        1.62      3264  exl3_moe_coop_ns::exl3_moe_coop_rot_kernel(MoeCoopParams)
   18.195    0.2843       1.48        1.20       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   17.636    0.2756       1.44        1.17       282  batched_state_rewind_kernel(StateRewindJobBatch)
   12.907    0.2017       1.05        0.85      3264  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8::Params)
   10.978    0.1715       0.89        0.73       192  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<4, 2, true>(MoeCoopParams)
