b=6 context=1024 draft=1: iterates 11..74 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
  133.909    2.0923      11.99        9.78      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<3, 2, false>(MoeCoopParams)
  122.022    1.9066      10.92        8.92      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<2, 2, false>(MoeCoopParams)
  117.456    1.8353      10.52        8.58      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<3, 2, true>(MoeCoopParams)
  102.172    1.5964       9.15        7.46      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<2, 2, true>(MoeCoopParams)
   86.622    1.3535       7.75        6.33      6400  void gr_v2_dots_i8_kernel<8>(float const*, signed char const*, float const*, float*, int, int, int)
   82.948    1.2961       7.43        6.06      6144  void exl3_gemm_kernel<4, true, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   60.245    0.9413       5.39        4.40      6400  void gr_v2_up_i8_kernel<8, true>(float const*, float const*, signed char const*, float const*, __half const*, void*, int, int, int)
   59.558    0.9306       5.33        4.35      2304  void exl3_mgemm_kernel<4, true, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   45.380    0.7091       4.06        3.32      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   44.471    0.6949       3.98        3.25      1147  _paged_attn_decode_split_kernel
   39.928    0.6239       3.57        2.92      2304  void cuda_recurrent_gated_delta_rule_kernel_128<true, 1, false, __nv_bfloat16>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   26.007    0.4064       2.33        1.90       128  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   18.580    0.2903       1.66        1.36      3136  exl3_moe_coop_ns::exl3_moe_coop_rot_kernel(MoeCoopParams)
   17.581    0.2747       1.57        1.28       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   13.199    0.2062       1.18        0.96      3136  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8::Params)
    9.789    0.1530       0.88        0.72      1147  _paged_attn_decode_combine_kernel
    9.599    0.1500       0.86        0.70      3136  routing_std_topk_kernel(__half const*, long*, __half*, __nv_bfloat16 const*, __half const*, int, int, int)
    9.444    0.1476       0.85        0.69       768  void exl3_gemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    8.659    0.1353       0.78        0.63       379  void exl3_mgemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
    8.233    0.1286       0.74        0.60      2304  void conv1d_update_kernel<true, true>(__nv_bfloat16 const*, __nv_bfloat16*, int const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, int, int, int, int)
