b=8 context=1024 draft=2: iterates 11..74 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
  656.799   10.2625      27.08       20.80      1472  void exl3_moe_kernel<3, 128, 2, 16>(__half const*, __half*, __half*, __half*, __half*, float*, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, long const*, long const*, __half const*, int, int, int, int, int, int, float, int, int, int, int, int*, float*, long const*, int, int)
  608.898    9.5140      25.10       19.28      1600  void exl3_moe_kernel<2, 128, 2, 16>(__half const*, __half*, __half*, __half*, __half*, float*, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, unsigned short const**, __half const**, __half const**, long const*, long const*, __half const*, int, int, int, int, int, int, float, int, int, int, int, int*, float*, long const*, int, int)
  158.508    2.4767       6.54        5.02      6592  void gr_v2_dots_i8_kernel<8>(float const*, signed char const*, float const*, float*, int, int, int)
  141.642    2.2132       5.84        4.49      6144  void exl3_gemm_kernel<4, true, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
  100.814    1.5752       4.16        3.19      2304  void exl3_mgemm_kernel<4, true, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   85.084    1.3294       3.51        2.69      6592  void gr_v2_up_i8_kernel<8, true>(float const*, float const*, signed char const*, float const*, __half const*, void*, int, int, int)
   77.022    1.2035       3.18        2.44      1306  _paged_attn_decode_split_kernel
   72.633    1.1349       2.99        2.30      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   72.001    1.1250       2.97        2.28      2304  void cuda_recurrent_gated_delta_rule_kernel_128<true, 1, false, __nv_bfloat16>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   60.137    0.9396       2.48        1.90      3072  void at::native::radixSortKVInPlace<-2, -1, 32, 32, long, long, unsigned int>(at::cuda::detail::TensorInfo<long, unsigned int>, unsigned int, unsigned int, unsigned int, at::cuda::detail::TensorInfo<long, unsigned int>, unsigned int, bool)
   51.438    0.8037       2.12        1.63       192  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   28.489    0.4451       1.17        0.90       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   19.312    0.3018       0.80        0.61      3072  exl3_moe_gather_kernel(float*, float const*, long const*, long const*, long const*, long const*, long const*, __half const*, int, int, int)
   16.042    0.2506       0.66        0.51       768  void exl3_gemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   13.434    0.2099       0.55        0.43      3072  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_nn_align8::Params)
   12.108    0.1892       0.50        0.38       538  void exl3_mgemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   11.507    0.1798       0.47        0.36      2304  void conv1d_update_kernel<true, true>(__nv_bfloat16 const*, __nv_bfloat16*, int const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, int, int, int, int)
   10.951    0.1711       0.45        0.35       404  batched_state_rewind_kernel(StateRewindJobBatch)
   10.659    0.1665       0.44        0.34      6400  void hc_apply_kernel<4, float, false, 32>(float*, float const*, float const*, float const*, int, int)
   10.435    0.1631       0.43        0.33       128  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<4, 2, true>(MoeCoopParams)
    9.941    0.1553       0.41        0.31       666  void exl3_gemm_kernel<5, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    9.918    0.1550       0.41        0.31      3200  routing_std_topk_kernel(__half const*, long*, __half*, __nv_bfloat16 const*, __half const*, int, int, int)
    9.704    0.1516       0.40        0.31      1306  _paged_attn_decode_combine_kernel
    9.649    0.1508       0.40        0.31      2304  void gdn_ba_gemv_kernel<8>(__half const*, __half const*, __half const*, float*, int, int)
    9.394    0.1468       0.39        0.30       128  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<4, 2, false>(MoeCoopParams)
    8.803    0.1376       0.36        0.28      3072  add_sigmoid_proj_kernel_f(float const*, __half const*, float*, __half const*, unsigned long, unsigned long)
    7.175    0.1121       0.30        0.23      7002  gr_v2_state_regrid_kernel(float const*, float*, float*, int, int, float)
