b=4 context=1024 draft=0: iterates 10..73 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
   80.948    1.2648      12.17       11.44      6144  void exl3_gemv_kernel<4, true, 2, 1, 0, false>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   62.718    0.9800       9.43        8.86      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<3, 2, true>(MoeCoopParams)
   57.577    0.8996       8.66        8.14      2304  void exl3_mgemm_kernel<4, true, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   57.088    0.8920       8.58        8.07      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<3, 2, false>(MoeCoopParams)
   53.602    0.8375       8.06        7.57      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<2, 2, true>(MoeCoopParams)
   52.269    0.8167       7.86        7.39      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<2, 2, false>(MoeCoopParams)
   43.498    0.6797       6.54        6.15      6208  void gr_v2_dots_i8_kernel<4>(float const*, signed char const*, float const*, float*, int, int, int)
   42.282    0.6607       6.36        5.98      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   35.260    0.5509       5.30        4.98      6208  void gr_v2_up_i8_kernel<4, true>(float const*, float const*, signed char const*, float const*, __half const*, void*, int, int, int)
   19.837    0.3099       2.98        2.80        64  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   19.713    0.3080       2.96        2.79      2304  void cuda_recurrent_gated_delta_rule_kernel_128<false, 1, false, __nv_bfloat16>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   17.297    0.2703       2.60        2.44       768  _paged_attn_decode_split_kernel
   17.127    0.2676       2.58        2.42       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   14.920    0.2331       2.24        2.11      3072  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8::Params)
   10.963    0.1713       1.65        1.55      3072  exl3_moe_coop_ns::exl3_moe_coop_rot_kernel(MoeCoopParams)
