b=8 context=1024 draft=1: iterates 11..74 (64 decode steps)
 CUDA ms   ms/step   kernel %   elapsed %  launches  kernel
  136.965    2.1401      11.96        9.55      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<3, 2, true>(MoeCoopParams)
  117.917    1.8425      10.30        8.22      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<2, 2, true>(MoeCoopParams)
   98.268    1.5354       8.58        6.85      6400  void gr_v2_dots_i8_kernel<8>(float const*, signed char const*, float const*, float*, int, int, int)
   92.713    1.4486       8.10        6.46      1472  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<3, 2, true>(MoeCoopParams)
   86.438    1.3506       7.55        6.03      6144  void exl3_gemm_kernel<4, true, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   82.422    1.2878       7.20        5.75      1600  void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<2, 2, true>(MoeCoopParams)
   61.287    0.9576       5.35        4.27      6400  void gr_v2_up_i8_kernel<8, true>(float const*, float const*, signed char const*, float const*, __half const*, void*, int, int, int)
   60.759    0.9494       5.31        4.24      2304  void exl3_mgemm_kernel<4, true, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   56.993    0.8905       4.98        3.97      1254  _paged_attn_decode_split_kernel
   56.547    0.8835       4.94        3.94      2304  void cuda_recurrent_gated_delta_rule_kernel_128<true, 1, false, __nv_bfloat16>(__nv_bfloat16 const*, float const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, int, int, int, int, int, int, float, int const*, int, float const*)
   46.068    0.7198       4.02        3.21      3072  void exl3_mgemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   25.958    0.4056       2.27        1.81       128  void exl3_gemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
   24.022    0.3753       2.10        1.68      3136  exl3_moe_coop_ns::exl3_moe_coop_rot_kernel(MoeCoopParams)
   17.810    0.2783       1.56        1.24       768  void exl3_mgemm_kernel<4, false, 2, 16, 32, 256, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
   12.829    0.2004       1.12        0.89      3136  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8::Params)
   11.001    0.1719       0.96        0.77       486  void exl3_mgemm_kernel<6, false, 2, 16, 16, 512, 4, 3>(__half const*, unsigned short const**, void*, int, int, int, int*, __half const**, __half*, __half const**, long*, __half*, int, int, int, int, int, int const*, void**, int const*, int const*, int)
    9.859    0.1540       0.86        0.69      1254  _paged_attn_decode_combine_kernel
    9.689    0.1514       0.85        0.68      3136  routing_std_topk_kernel(__half const*, long*, __half*, __nv_bfloat16 const*, __half const*, int, int, int)
    9.486    0.1482       0.83        0.66      2304  void conv1d_update_kernel<true, true>(__nv_bfloat16 const*, __nv_bfloat16*, int const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16*, int, int, int, int)
    9.427    0.1473       0.82        0.66       768  void exl3_gemm_kernel<4, false, 2, 16, 32, 128, 4, 3>(__half const*, unsigned short const*, void*, int, int, int, int*, __half const*, __half*, __half const*)
    9.286    0.1451       0.81        0.65      2304  void gdn_ba_gemv_kernel<8>(__half const*, __half const*, __half const*, float*, int, int)
